plate,review_reason_code,customer_meaning,reviewer_comments,status
TRAPNGO,3,"WORK HARD EVERYDAY AND GO HOME THEN COME BACK THE NEXT DAY AND DO  IT AGAIN, ALL WHILE HELPING PEOPLE SELL GOODS... TRAPNGO","""TRAP"" CAN MEAN TO SELL DRUGS                 (EX. ""TRAPHOUSE"")",N
TUF TACO,1,TOUGH TOYOTA TACOMA,PULLED FOR TACO,N
XU666,2,"XU IS MY LAST NAME, AND 666 IS A LUCKY NUMBER",PULLED FOR 666,Y
2 BLASÉ,7D,TOO BLASÉ,BLASÉ=BLAZE? DRUG REFERENCE,N
4O8HEMI,2,THE TYPE OF ENGINE IN MY VEHICLE.,408=AREA CODE,Y
66 HAZE,7D,DRIVER'S NAME AND YEAR OF VEHICLE,"""HAZE"" COULD BE DRUG REFERENCE",N
CITY415,2,NO MEANING ON REG 17,415=AREA CODE,N
SPARK 24,7D,NO MEANING ON REG 17,"""SPARK"" CAN BE MARIJUANA REFERENCE   (EX. ""SPARK UP"")",N
ZWERG,2,DWARF IN GERMAN,ZWERG MEANS DWARF IN GERMAN,N
GON2 HLL,2,NO MEANING ON REG 17,"""GOIN' TO HELL""",N
DRTBAG9,2,BASEBALL TEAM AND NUMBER,DIRTBAG 9,N
6S6I6X,2,SIX SIX SIX,PULLED FOR 666,Y
BJSRGR8,1,FAMILY INITIALS,BLOW JOBS ARE GREAT,N
CAT CADI,1,,CAT,Y
C DOBIE,7D,,DUBY,N
DBAK 9O9,2,,909 AREA CODE,N
GOBLU16,2,FAVORITE TEAM AND FAVORITE NUMBER,BLUE,Y
G STER,2,IT IS THE NICKNAME FOR OUR DOG GULLIVER...GULLIEMEISTER...G'STER,G GANSTER,N
HERBS 38,7D,,HERBS DRUG REFERENCE,N
HERBS 52,7D,,HERBS DRUG REFERENCE,N
HLLCAT 2,1,HELLCAT TOO. THIS PLATE IS GOING ON A DODGE HELLCAT. HELLCAT WAS ALREADY TAKEN SO I ADDED A 2.,CAT,Y
ITIIIII,6,NO MEANING,LOOKS LIKE ALL DIGITS,N
KLLER B,2,B SERIES MOTOR,KILLER BLOOD,N
MANCHKN,1,HAVE A LOT OF CHICKENS,Man Chicken is the part of a man's tackle that looks like raw chicken skin.,N
mmmnmnm,6,MATCHING PLATE LIKE WIFES CAR,LOOKS LIKE ALL DIGITS,N
MNMNNMN,6,MINNESOTA MOUNTIN MAN,LOOKS LIKE ALL DIGITS,N
nmmmnmn,6,SIMILAR TO FAMILY PLATE,LOOKS LIKE ALL DIGITS,N
NMNMNNM,6,FOR MY SONS CAR TO MATCH,LOOKS LIKE ALL DIGITS,N
NMNNMNM,6,WILL BE CUTE ON MY WIFES CAR NEXT TO MINE,LOOKS LIKE ALL DIGITS,N
PILT LYF,7,PILOT LIFE,PILT LIFE TO BE EXTREMELY INTOXICATED,Y
RAMCLAM,1,FOR THE RAMS,CLAM,N
REDEURO,2,,RED,Y
SPR GEIL,1,,GEIL IS GERMAN FOR HORNY,N
STRACAT,1,,CAT,Y
TACOMUD,1,TOYOTA TACOMA FOR THE MUD,TACO,N
TRAMPAZ,2,BASEBALL TEAM,TRAMP,N
XXX22,1,FAVORITE NUMBER,XXX,N
1BDV3C6,6,BAD LOOKING CORVETTE,LOOK ALIKE,N
2 PENUTS,1,,NUT,N
3I4I592,6,,LOOK A LIKE,N
51OSR2O,2,510 IS CAR SR20 IS ENGINE,510 AREA CODE,Y
608211C,6,YEARS OF DAD SON & MY SELF & LETTER C BEGIN OUR NAMES,LOOKS LIKE A TIN NUMBER,N
6115OAK,6,"MY HOUSE NUMBER WHERE I WAS BORN IN OAKLAND, CA",LOOKS LIKE A COMMERCIAL,N
9458OX3,6,YEAR MY CHILDREN WERE BORN AND HUGS TIMES 3,LOOKS LIKE A COMMERCIAL,N
BGBTSLT,2,BIG BUTT SLT,BIG BUTT SLUT,N
BLU R2D2,2,"THE COLOR ""BLUE"" AND THE STAR WARS CHARACTER ""R2-D2""",BLUE,Y
CA9O731,6,THE STATE AND ZIP CODE I LIVE IN,LOOK A LIKE,N
GERC42O,7D,INITIALS OF BUSSINESS AND HORSE POWER OF TRUCK ENGINE,420 NATL WEED DAY,N
IMONLVL,2,I'M ON A LEVEL,"""IM ON"" TO BE HIGH",N
NUTZIE1,2,,NUTZ,N
VAPEQUN,,I OWN A VAPOR BUSINESS.,VAPE PEN USED TO SMOKE WEED,Y
YAH BLUE,2,UNIVERSITY IF MICHIGAN ALUMNI,BLUE,Y
69DREMS,2,YEAR I GRADUATED,69,N
HILBLY1,2,HILL BILLY IS MY NICK NAME,HILL BILLY,N
OOOOOQA,6,QUANTUM AERONAUTICS,LOOKS LIKE ALL DIGITS,N
OOOOOQB,6,QUANTUM BIOLOGY,LOOKS LIKE ALL DIGITS,N
XBULL69,2,POKER NICKNAME,69,N
EM1 BLU,2,"BLUE EM1 HONDA, EM1 IS THE MODEL OR TYPE OF CAR",BLUE,Y
AK4TY7,2,NAME,"AK47, GUN REFERENCE",N
BOMBONN,2,MARSHMALLOW,"BOMB ON, WEAPON REFERENCE",N
BYOFCR,5,..,"""BYE OFFICER""",N
CRIPPLD,4,"OUR 6TH GRANDCHILD WILL BE THE 1ST GIRL & NAMED CLAUDIA. THAT PLATE IS TAKEN. HER DAD HAS GREAT AFFINITY FOR ALL THINGS LATIN. CLAUDIA IS OF LATIN ORIGIN AND DEFINED AS ""CRIPPLED"".","CRIPPLED, OFFENSIVE",N
DRGNGNR,2,DRAGON GUNNER,GUNNER IS A WEAPON REFERENCE,N
FDUB,7D,ABBREVIATION OF MY NAME,"DUB, ANOTHER WORD FOR AN AMOUNT OF MARIJUNA",N
F93,2,FRANCISCO 1993 BIRTHDAY AND NAME.,F93 IS A TYPE OF GUN,N
HELLSG8,3,NONE,"""HELL""",N
HIBURN8,7D,MEANS HIBERNATE,"HI, DRUG REFERENCE",N
HI5FIG,7D,HIGH FIVE FIG,"HI, DRUG REFERENCE",N
HYSPACE,7D,MY NICKNAME,"HI, DRUG REFERENCE",N
JOYFLJ,7D,IT STANDS FOR JOYFUL JULIANNA (MY  DAUGHTER'S NAME),"J, JOINT, DRUG REFERENCE",Y
KDUB35,7D,KEVIN DURANT #35 WARRIORS BASKETBALL,"DUB, ANOTHER WORD FOR AN AMOUNT OF MARIJUNA",Y
KOLTS45,2,LAST NAME,KOLT45 IS A TYPE OF GUN,N
KTMDORK,3,KTM IS A MOTORCYCLE,"DORK, SOME PEOPLE COULD FIND IT OFFENSIVE",N
K9BOMB,2,I AM A K9 BOMB DOG HANDLER FOR THE  GOVERNMENT,"BOMG, REFERENCE TO A WEAPON",N
LAMMCHP,5,SHERRIE LEWIS' HAND PUPPET,CHP CAN STAND FOR CHOP BUT ALSO STANDS FOR CALIFORNIA HIGHWAY PATROL,N
LOVESNW,7D,I LOVE SNOW!,SNOW CAN BE ANOTHER WORD USED FOR COCAINE,N
LTBUO2,7D,LIGHT THAT BABY UP 2002,DRUG REFERENCE,N
MLOYEL,3,COLOR,MELLOW YELLOW CAN BE A REFERENCE TO PEE,Y
MMMBACN,5,BACON IS GOOD,"BACON, DEROGATORY TERM FOR A POLICE OFFICER",Y
NOTADUB,7D,"WE HAVE BEEN A VOLKSWAGEN OWNED FAMILY AND THIS IS OUR FIRST NON-VEE""DUB"" (VW) WHICH IS THE REASON FOR THE NAME.","DUB, ANOTHER WORD FOR AN AMOUNT OF MARIJUNA",N
PLUMHZY,7D,COMBINATION OF THE CAR COLOR PLUM CRAZY AND THE SONG PURPLE HAZE,CAN STAND FOR PURPLE HAZE WHICH IS A TYPE OF MARIJUNA,N
QUEDUB,7D,MY INITIALS ARE K W-B; QUE IS PRONOUNCED IN SPANISH AS K. DUB IS SHORT FOR W.,"DUB, ANOTHER WORD FOR AN AMOUNT OF MARIJUNA",N
RFTC,5,"RFTC IS THE INITIALS OF MY FAVORITE LOCAL  BAND, ""ROCKET FROM THE CRYPT"".",CAN STAND FOR RUN FROM THE COPS,Y
RUBUZZD,3,WE RUN A ANTI DRINKING AND DRIVING  PROGRAM AFTER A FRIEND WAS KILLED  BUZZD DRIVING IS DRUNK DRIVING,"BUZZED, PEOPLE MAY FIND IT OFFENSIVE",N
RVOODOO,6,TYPE OF CAR MOTOR,THE O'S AND D BLEND TOGETHER AND LOOK ALIKE,Y
R43O128,6,ROGER,LOOK ALIKE,N
SNFL916,2,CAR CLUB CAR NAME...,AREA CODE,N
S91183C,6,1983 PORSCHE 911 SC,LOOK ALIKE,N
TACHULO,,SALVADOREAN WORD (BEAUTIFUL),CHULO MEANS PIMP IN SPANISH,Y
TEAMM4,,REPRESENTS COMPANY SUCCESS,M4 IS A TYPE OF BMW BUT IT IS ALSO A TYPE OF GUN,Y
THEPIL,7D,ITS A CHILDHOOD NICKNAME MY WIFE'S FAMILY REFERRED TO HER BY.,DRUG REFERENCE,N
TRPLORD,7D,TO RESPECT PEOPLES LORD.,"TRAP, DRUG REFERENCE",N
TRPR887,7D,STAR WARS,"TRAP, DRUG REFERENCE",Y
WWVWVWW,6,NO MEANING JUST ARTISTIC DESIGN,LOOK ALIKE,N
1O215,6,THE DAY MY WIFE AND I MET,ALL DIGITS,N
1961M4,6,BMW FROM 1961,LOOK ALIKE,N
21189,6,WEDDING ANNIVERSARY.,ALL DIGITS,N
35887,6,LOVE,ALL DIGITS,N
4DRHOR,3,HORRIBLE 4 DOOR,LOOKS LIKE 4 DOOR WHORE,N
4SMOKEY,7D,FATHER IN LAWS NICKNAME,SMOKEY CAN BE CONSIDERED A DRUG REFERENCE,N
42697,6,ANNIVERSARY DATE,ALL DIGITS,N
515OZ71,7D,5150 IS THE LAST FOUR NUMBERS OF OUR  BUSINESS PHONE NUMBERS AND Z71 IS THE TYPE OF TRUCK.,OZ CAN STAND FOR OUNCE WHICH CAN BE A DRUG REFERENCE,N
552M1,6,SIGNIFICANT LIFE NUMBERS;  I HAVE AN M1 ENDORSEMENT,LOOK ALIKE,N
6ILOVE9,1,EVERYTHING ELSE I WANTED WAS TAKEN,I LOVE 69,N
631OO,6,YEAR AND MODEL OF TRUCK,ALL DIGITS,N
671O11V,6,MY FAMILIES BIRTHDATES AND LAST NAME INTIAL,LOOK ALIKE,N
7O396,6,1970 CHEVY WITH 396 ENGINE,ALL DIGITS,N
71616,6,DATE,ALL DIGITS,N
76BLAZ,7D,"YEAR OF TRUCK, MODEL BLAZER","BLAZ IS A SLANG WORD FOR SMOKE, USUALLY REFERING TO MARIJUANA",Y
BBNGA,2,CHILD'S NICKNAME,LOOKS LIKE BABY NIGGA,N
HI4USC,7D,"HIGH FIVE FOR UNIVERSITY OF SOUTHERN  CALIFORNIA. THE GESTURE IS OFTEN ""GIVE ME FIVE"" OR ""HIGH FIVE"", GREETINGS, CONGRATULATIONS OR  CELEBRATION.","HI, DRUG REFERENCE",N
IGAYPS,4,IT'S THE #ILOVEGAYPALMSPRINGS FOR TOURISM  IN THE DESERT ASSOCIATED WITH OUR WEBSITE GAYDESERTGUIDE.COM,"GAY, COULD BE A TARGET FOR DISCRIMINATION",Y
SAWCY,7D,SAUCEY,"SAUCEY CAN MEAN DRUNK, COULD BE OFFENSIVE",Y
GDTAHOE,2,INITIAL'S FOR GLORIES DIAZ AND LOCATION OF HOME,GD CAN STAND FOR GANSTER DECIPLE,Y
HIMZPKR,7D,MY NAME,"HI, DRUG REFERENCE",N
RDNKCD,4,RED NECK CADDI,"RED NECK, DEROGATORY",N
AHNHIG,2,GINAH BACKWARDS,NHIG CAN USED AS NIGGA,N
ANNICKA,2,MY NAME,SOUNDS SIMILAR TO AH NIGGA,Y
BABYM4,2,BABY M4,M4 IS A TYPE OF BMW BUT IT IS ALSO A TYPE OF GUN,N
BAGOPOO,3,NICKNAME,"POO, REPULSIVE",N
COKETRN,7D,WORK FOR COCA COLA,COKE CAN BE A DRUG REFERENCE,N
FCKUDMV,3,HOW I FEEL RIGHT NOW,SELF EXPLANATORY,N
GTSH,7D,NO MEANING,"SH CAN STAND FOR SO HIGH, GOT SO HIGH",N
HIJKGRX,7D,FAMILY MEMBERS FIRST NAME INITIALS (HIJK)  PLUS ABBREVIATED LAST NAME (GREAUX),"HI, DRUG REFERENCE",N
HYEZAKS,7D,"HYE MEANS ARMENIAN, WHICH IS OUR  NATIONALLITY AND ZAKS IS SHORT FOR ZAKARIAN, WHICH IS OUR LAST NAME","HI, DRUG REFERENCE",N
NETSM4,2,JANETTES M4,M4 IS A TYPE OF BMW BUT IT IS ALSO A TYPE OF GUN,Y
SCMBJ,7D,FAMILY INITIALS,"J, JOINT, DRUG REFERENCE",N
SMOKEEY,7D,MY CHILDRENS DECEASED FATHERS NAME,CAN BE CONSIDERED A DRUG REFERENCE,N
TYPEHI,7D,"IN LETTERPRESS PRINTING, ALL TYPE IS 0.918 IN.: WHICH IS KNOWN AS TYPE HIGH. I'VE SHORTENED IT TO FIT","HI, DRUG REFERENCE",N
2MONKEZ,2,MONKEY IS A NICKNAME FOR MY 8 YEAR OLD  SON AND HE CALLS ME MOMMY MONKEY SO ID LIKE THIS PLATE SAYING WHAT IT SHOWS ABOVE MEANING 2 MONKEYS.,MONKEYS IS A RACIAL TERM,N
GAHDAYM,3,IT'S A HARRY POTTER REFERENCE. THE NAME OF A SPELL WHICH MAKES PEOPLE VANISH,LOOKS LIKE GOD DAMN,N
853,6,MY BIRTH DATE IS 8-5-53,ALL DIGITS,N
ABU LELA,2,,COMMANDER OF THE SYRIAN ARMY,N
BLSBAMS,1,,BLESS BAMS BALLS??,Y
HOOKIN,1,,HOOKIN AROUND PROSTITUTE,N
I M 666,2,,666 MARK OF THE BEAST,Y
MKTN,2,,MAC 10,N
RL HICKS,2,,HICK DEROGATORY TERM,Y
RO8 R52,6,,LOOK A LIKE,N
YNG BOWN,1,,BOWN LOOKS LIKE BONE,N
AQAHLC 2,2,,ALCOHOLIC,N
HUNT4U,D,MICRO UNAVAILABLE,"HUNT FOR YOU, POTENTIALLY VIOLENT MEANING",N
IOD/PERK,D,MICRO UNAVAILABLE,"I OVERDOSE (OD) PERK (PERCOCET ""PERKY,PERKYS""",N
IS4KGB,D,THE CAR IS AN IS250 AND ITS FOR KGB (MY INITIALS),IS FOR K.G.B (SOVIET UNION SOCIALISTS REPUBLICS),N
LOLPU2,D,MICRO UNAVAILABLE,LAUGH OUT LOUD P.U. (STINK) 2,Y
MAKAPUU,D,HAWAIIAN SURF SPOT,MAKE A POO OR MAKE A STINK,N
RAT/GASR,D,MICRO UNAVAILABLE,RAT IS A NAME FOR A SNITCH OR INFORMANT,Y
RAT/TIGR,D,"CAR IS A SUNBEAM TIGER, NOT IN CONCOURSE (SHOW) CONDITION.",RAT IS A NAME FOR A SNITCH OR INFORMANT,Y
1OOGWOP,2,100 DOLLARS IN OTHER WORDS,GWOP IS DEGROGITORY NAME FOR ITALIAN'S. CAN ALSO MEAN MONEY,N
X/R8TD,1,MICRO UNAVAILABLE,X RATED,N
BRRAAHP,D,MICRO UNAVAILABLE,"SOUND MADE BY MOUTH TO IMITATE A UZI OR MACHINE GUNSHOTS, TO SHOOT OR INFLICT VIOLENCE",N
ONEAKA,D,MICRO UNAVAILABLE,ONEAKA CAN SOUND LIKE OH NIGGA OR OH NICCA,Y
BALZOWT,2,GRANDPARENTS FAMILY NAME = BALOZOWNTI,BALLS OUT,N
BLUD BAG,2,BLOODBAG IS THE NICKNAME FOR MAD MAX IN THE MOVIE FURY ROAD,BLOOD BAG,N
BUDDHA Q,7D,NO MICRO,"""BUDDHA"" CAN BE SLANG FOR MARAIJUANA",N
CHONG11,7D,DRIVER'S NICK NAME,"""CHONG"" CAN BE SLANG FOR MARIJUANA",N
DAM DXTR,3,DAM DEXTER I NAMED MY CAR DEXTER,DAMN DEXTER,N
DMNBDE,3,MILITARY NICKNAME,DMN = DAMN,N
GGGTXXX,1,GTX,PULLED FOR XXX,N
GRAMEZ 9,7D,NO MICRO,GRAMEZ=GRAMS? DRUG REFERENCE,N
HY ROLER,7D,"NAME OF THE VEHICLE IT'S GOING ON. IT'S A CUSTOM LIFTED VEHICLE. ""HIGH ROLLER""","""HIGH ROLLER"" COULD BE DRUG REFERENCE",N
IHOODLM,2,INTELLIGENT HOODLUM IS JUST A NICK NAME,PULLED FOR HOODLUM,N
KIKN BK,2,NO MICRO,BK = BLOOD KILLER,Y
LILNUTZ,2,A LITTLE CRAZY,LITTLE NUTS,Y
MOLLY 16,7D,NO MICRO,"""MOLLY"" COULD BE A DRUG REFERENCE",N
PITIN,2,PITIN,PITIN IS CREOLE FOR WHORE,N
POR2WOP,2,1/2 PORTUGUESE 1/2 ITALIAN,"PULLED FOR ""WOP""",N
RDNKJEW,2,ROAD NUKE JEWISH,REDNECK JEW?,N
RR 187M6,2,INITIALS,PULLED FOR 187 = MURDER,N
RS 231,3,NO MICRO,"PULLED FOR ""RS"" WHICH CAN MEAN ""REAL SHIT""",Y
SVHO,2,NO MICRO,SAVE HOE?,N
TACOMB1,1,TACOMA'S BEST ONE CAUSE I OWNED ALL THREE OF THE TACOMA GENERATIONS AND THIS IS THE BEST ONE THEY MADE HANDS DOWN,PULLED FOR TACO,N
TNT AMBO,2,TIM AND TIFFANY AMBO,TNT IS AN EXPLOSIVE,N
XFIENDX,2,MEANS FIEND,FIEND COULD BE DRUG REFERENCE,N
818GIRL,2,VALLEY GIRL,818 = AREA CODE,N
916 TPOS,2,THE AREA CODE OF SACRAMENTO.,916 = AREA CODE,N
CK$MAMA,2,NAMES OF MY FIANCEE AND MYSELF.,CK = CRIP KILLER,
WSKI64,7D,USS WISCONSIN BB64,WHISKEY 64?,Y
SUPA TNT,2,SUPER TENT,TNT IS AN EXPLOSIVE,N
WISL PIG,5,ITS IN HONOR OF MY DAD HO LOVD GROUNDHOGS,"""PIG"" = POLICE",N
DANKNMN,7D,NO MICRO,"""DANK"" CAN BE SLANG FOR MARIJUANA",N
BBBB88B,6,FAVORITE NUMBER/LETTER,LOOKS LIKE ALL DIGITS,N
BLK PLAG,2,BLACK PLAGUE IS THE CARS' CAR SHOW NAME GIVEN BY MY FATHER.,BLACK PLAGUE,N
BLU BLIT,2,BLUE BULLET,BLUE,Y
BLUNT 54,7D,,BLUNT DRUG REFERENCE,N
BLZ OUT,1,"I OWN A FIRE SPRINKLER COMPANY CALLED ""BLAZE OUT""",BALLS OUT,N
CALARMS,2,FIREARM CO CALIFORNIA FIREARMS,FIREARMS,Y
CP KANE,7D,,COCAINE,N
CPN GUNN,2,"DRIVER ALIAS, CAPTAIN MORRIS GUNN",GUN,N
DANK,7D,,MARIJUANA REFERENCE,N
DEGENRT,2,DEGENERATE BECAUSE IM A PROFESSIONAL POKER PLAYER,DEGENERATE,N
DUBL HOO,2,HAVE TWO DEGREES FROM THE UNIVERSITY OF VIRGINIA. UVA GRADS KNOWN AS HOOS.,DOUBLE HOE,N
DWARVES,2,AS A TRIBUTE TO MY AUNT WHO RECENTLY PASSED DIANNE WARVES,DWARF,N
GAYTAN4,2,LAST NAME,LOOKS LIKE GAY,Y
GOIN LRG,2,GOING LARGE,GO IN LARGE,N
GRYBUSH,2,NICKNAME. MEANS I HAVE GREY HAIR AND GREY BEARD,REFERENCE TO PUBIC AREA,N
HAN8JO5,2,OUR KIDS NAME,LOOKS LIKE HAND JOB,N
HELLFHS,2,MY AIRSOFT TEAM NAME AS WELL AS A TRIBUTE TO THE SIMPSONS,HELL,N
HYE JEEP,2,MY COUNTRYS NAME,HIGH,N
KNDY LAB,7D,TOY COMPANY NAME: CANDYLAB INC,DRUG LAB,N
MJMJ 916,2,INITIALS AND AREA CODE,916 AREA CODE,N
MR UZZI,2,GODS CHILD,FIREARM OOZY,N
M4KILLR,2,BOUGHT A NEW CAMARO SS. CAR MAGAZINES TESTED IT AGAINST THE BMW M4 AND THE M4 LOST. CAMARO SS NOW HOLDS THE NAME M4 KILLER SINCE IT DESTROYED IT IN THE TEST,KILLER,N
PURP GRL,7D,MY BUSINESS IS EMERGENCY PREPAREDNESS BACKPACKS FOR WOMEN. I HELP LOCAL FAMILIES GET PREPARED FOR DISASTERS,PURP MARIJUANA REFERENCE,N
STONEYS,2,MY LAST NAME IS STONEKING. EVERYONE CALLS ME STONEY,LOOKS LIKE STONED TO BE HIGH,N
WTE GURL,2,WHITE GIRL,WHITE GIRL,N
1COCA,7D,6XJV014,COCAINE,N
1OIIIIO,6,,LOOK ALIKE,N
1155OHS,6,COMMONLY USED POLICE CODE,LOOK ALIKE,N
31470S1,6,IT IS THE ORIGINAL LICENSE PLATE NUMBER,LOOKS LIKE A COMMERCIAL PLATE,N
3547OM1,6,ORIGINAL PLATE NUMBERS,LOOKS LIKE A COMMERCIAL PLATE,N
562ILWU,2,DOCK WORKER,562 AREA CODE,N
7OX7PTL,7D,,LOOKS LIKE OXY,N
OINK 3X,2,IT'S FOR A HARLEY MOTOTRCYCLE AND THERE KNOWN AS HOGS,OINK AS IN PIG,N
BZD HLTH,2,BUZZ'D HEALTH,BUZZED AS IN HIGH HEALTH,N
QODOQQO,6,"ITS THE FIRST LETTERS OF THE WORDS IN A RELIGIOUS POEM. ""QUESTIONS OF DIVINITY OR QUEST QUESTIONING OURSELVES""",LOOKS LIKE ALL DIGITS,N
RICE BAL,2,PERSONAL NICKNAME,TESTICLE REFERENCE,N
VAPE LRD,7D,VAPE LORD,DRUG REFERENCE,N
HILBLEE,2,COUNTRY FOLK,HILL BILLY,N
ABV BLO,2,,BLOW,N
BLAZZZN,D,BLAZZING AS KN BLAZZING BYE IN THE CAR... GT MUSTANG AS WELL AS FAMILIES FAVORITE MOVIE IS BLAZZING SADDLES!!!!,BLAZING SMOKING,N
EATNSNX,1,I EAT A LOT OF SNACKS,EATING SNACKS,N
FNDFLUF,2,"I LOVE TO SKI AND SNOWBOARD, AND WE JOKE THAT REAL (NOT MAN MADE SNOW) IS CALLED FLUFF.",FIND FLUFF?,Y
HAM URD,2,HAM URD,DRUNK,N
IMN HER,1,I AM IN MY CAR,IM IN HER,N
J132O15,2,,LOOK ALIKE,N
LILRED2,2,OUR LITTLE RED WAGON,RED,Y
LIT LINK,D,LINK IS FROM LOZ ITS A VIDEO GAME DUH,LIT HIGH DRUNK OR COULD ALSO MEAN EXTREMELY GOOD,N
PURITOS,2,,CIGAR,Y
QQOQOQ8,6,OWNERS FAVOURITE BAND.,SUBSTITUTION OR LOOK A LIKE EXEMPT,N
SHRK 559,2,NICKNAME AND AREA CODE,559 AREA CODE,N
SIX1NIN,2,,619 AREA CODE,N
SMKNFLM,2,FIRE FIGHTER SMOKE AND FLAMES,SMOKE AND FLAME,N
SSFELON,2,BRAND OF THE VEICHLE,FELON,N
SUPFOOS,2,WHATS UP FRIENDS OF OUTER SPACE,WHATS UP FOOL,Y
TIRO619,2,NICK NAME,619 AREA CODE,N
TRIGGGA,2,"WE NAME OUR CARS AFTER HORSES. TRIGGA STANDS FOR TRIGGER, ROY RODGERS HORSE.",TRIGGER AS IN GUN,N
WHTASPZ,2,IT IS WHAT A SPAZ WHICH IS A LINE FROM A MOVIE,WHAT A SPAZZ,N
XL MAGNM,1,I OWN A DODGE MAGNUM SRT8 AND IT'S A WAGON SO IT'S A BIGGER VESSEL XL MEANS LARGE MAGNUM IT'S THEIR BIG PACKAGE WITH THE BIG ENGINE THE BIGGEST ONE THEY MAKE FOR THE MAGNUM,XL MAGNUM CONDOM,Y
YANKS 2,2,FAVORITE BASEBALL TEAM,YANKEE,Y
1032HP,2,,LOOK A LIKE BOAT,N
1SUCIOS,2,MUSIC SONG,DIRTY,N
90052B1,2,A LIKE FOR THE CLASSICS,COMMERCIAL LOOK A LIKE,N
#HO SLVR,1,,HI HO SILVER,N
CKSWEET,2,IN THE NEAR FUTURE I WOULD LIKE TO SELL CUPCAKES AND WOULD LIKE FOR MY VAN TO SHOW THIS ON ITS LICENSE PLATE. THE CK STANDS FOR CAKE AND THE SWEET IS A NICE TOUCH.,CK CRIP KILLER,Y
EATGOOD,1,,EAT GOO,N
FLIPNLA,3,HOUSE FLIPPING,FLIPPIN LA,N
KYRA 949,2,,949 AREA CODE,N
LARJRYD,2,LARGE RIDE,LARGE RIDE,Y
SGPVAGO,2,SAN GORGONIO PASS VAGO,VAGO,N
BAM2316,,ITS MY SONS NICKNAME AND ALSO HOS BIRTH DATE,2316 CAN STAND FOR WHITE PRIDE WITHIN THE PRISON SYSTEM,N
BEATRZZ,,MY NAME,LOOKS LIKE BEATERS,Y
BERYNIZ,,BERENICE OR VERY NICE,NIZ CAN BE A SLANG WORD FOR NIGGER,Y
BLADEO6,,FRATERNITY FOUNDING,BLADE IS A REFERENCE TO WEAPON,N
BLANGER,,"HIGHSCHOOL NICKNAME, COMBINES MY FIRST  AND LAST NAME",CAN BE USED AS A DEROGATORY TERM FOR A POLICE OFFICER,N
BLIT4JC,,BE LIGHT FOR JESUS CHRIST (ALSO) BULLIT FOR JESUS CHRIST,"B LIT IS A TERM USED TO SAY ""BE HIGH""",N
BLOWSMK,,DIESEL TRUCK,BLOWING SMOKE CAN BE A REFERENCE TO SMOKING MARIJUANA,N
BOLLOXX,,FAMILY NAME,BOLLOCKS IS AN ENGLISH SWEAR WORD MEANING RUBBISH OR TESTICALS,N
BRKNNCK,,I HAVE A CORVETTE AND PEOPLE TURN THEIR  HEADS TO LOOK AT IT,BREAKING KNECKS COULD BE OFFENSIVE TO SOME PEOPLE,N
BRNNPRD,,"""BRN ""STANDS FOR THE COLOR OF MY VEHICLE  WHICH IS A BROWNSTONE SILVERADO WHICH IS BEAUTIFUL COLOR AND ""N""STANDS FOR AND,  ""PRD"" STANDS","PRD CAN STAND FOR PRE ROLLED DUBY, ""BURNING PRE ROLD DUBIES"" IS WHAT THE LICENSE PLATE COULD STAND FOR",N
BSTR5OH,,NICK NAME IS BUSTER WHICH MEANS ROOKIE  AND I DRIVE A 5 LITER V8,"5OH, POLICE REFERENCE",N
BULLITF,,NAME OF MOVIE CHARACTER CAR WAS  PRODUCED TO HONOR  FRANK BULLITT,BULLIT IS A REFERENCE TO A WEAPON,N
BULLIT8,,CAR MAKE AND YEAR,BULLIT IS A REFERENCE TO A WEAPON,N
CEJA5O,,LAST NAME AND TYPE OF ENGINE IN THE VEHICLE,"5O, POLICE REFERENCE",Y
CHP1969,,REFERS TO THE YEAR OF MANUFACTURE AND  FORMER AGENCY FOR WHICH THE CAR USED TO SERVE,"CHP, POLICE REFERENCE",N
CHVYBLZ,,CHEVROLET AND SONS INITIALS,BLZ CAN STAND FOR BLAZE AND BLAZE IS A SLANG WORD FOR SMOKING MARIJUANA,N
COCOXS,,MY NICKNAME AND INITIALS,COCO CAN BE A SLANG WORD FOR COCAINE,N
EATMYST,,OWN A (FORD FOCUS ST) SO EAT MY ST,LOOKS LIKE EAT MY SHIT,N
EDB,,NICKNAME,CAN STAND FOR ENTITLED DOUCHE BAG,N
ELCHOTA,,CHILDHOOD NICKNAME FOR THE LITTLE GUY OR LITTLE POLICE GUY,POLICE REFERENCE,N
EVL5OHH,,MUSTANG 5.0,"5OH, POLICE REFERENCE",N
FACT5O,,DJ NAME,"5O, POLICE REFERENCE",N
FLTHY5O,,MEANS I HAVE A FILTHY MUSTANG GT 5.0,"5O, POLICE REFERENCE",N
GATX1O3,,MODEL NUMBER OCCURED IN A JAPANESE ANIME SERIES.,"GAT IS ANOTHER WORD FOR GUN, WEAPON REFERENCE",N
GNOMER1,,"I PLAY WORLD OF WARCRAFT, MY RACE IN GAME IS GNOME. GNOMER 1",GNOMER CAN BE A WORD MEANING UGLY PIECE OF SHIT,Y
GRTHY5O,,WIDE VEHICLE.,"5O, POLICE REFERENCE",N
GUNSRFN,,MUSCLES ARE FUN,"GUN, WEAPON REFERENCE",N
HIMNTNZ,,HIGH MAINTAINENCE,"HI, DRUG REFERENCE",Y
